Group	Type	Subtype_name	Subtype	Gene_count	Protein_count	Gene_accessions	Protein_accessions
Effector Genes	Antioxidants	Superoxide Dismutase (Mn/Fe)	MnSOD	1	1	LOC101852344	XP_005104703.1
Effector Genes	Antioxidants	Peroxiredoxin	PRDX	4	4	"LOC100533273, LOC101852808, LOC101852939, LOC101861906"	"NP_001191508.1, XP_005089483.1, XP_005102125.1, XP_012941842.1"
Effector Genes	Antioxidants	Peroxidases	PRX	14	15	"LOC100533347, LOC101854499, LOC101849496, LOC101863779, LOC101864111, LOC101857618, LOC101861832, LOC101859126, LOC101855136, LOC101857144, LOC101863640, LOC101849729, LOC101848002, LOC118479194"	"NP_001191571.1, XP_005099074.2, XP_005108720.1, XP_005110224.1, XP_005111772.2, XP_012940602.1, XP_012941550.1, XP_012942535.1, XP_012943057.2, XP_012943483.1, XP_012943751.1, XP_035828376.1, XP_035828707.1, XP_035828805.1, XP_035829822.1"
Effector Genes	Antioxidants	Superoxide Dismutase (Cu/Zn)	SOD	8	9	"LOC100533275, LOC101847577, LOC101855786, LOC101845921, LOC101855342, LOC101848783, LOC106012813, LOC106013208"	"NP_001191510.1, XP_005096308.2, XP_005097192.1, XP_005097846.1, XP_005099752.1, XP_005099753.1, XP_005109651.1, XP_012942335.1, XP_012943757.1"
Effector Genes	Antioxidants	thioredoxin domain-containing protein	TRXDC	38	46	"LOC100533273, LOC101852808, LOC101857161, LOC101863732, LOC101854246, LOC101862110, LOC101857022, LOC101862652, LOC101850088, LOC101855028, LOC101849218, LOC101849471, LOC101852939, LOC101848899, LOC101849474, LOC101862291, LOC101850355, LOC101855514, LOC101860355, LOC101850597, LOC101860361, LOC101852050, LOC101856691, LOC101851372, LOC101847690, LOC101863848, LOC101850119, LOC101859286, LOC101849340, LOC101852463, LOC106011470, LOC106012213, LOC101853718, LOC101861906, LOC101860854, LOC101852472, LOC101857067, LOC101859207"	"NP_001191508.1, XP_005089483.1, XP_005090242.1, XP_005094049.1, XP_005095910.1, XP_005097386.1, XP_005098394.1, XP_005099456.1, XP_005099457.1, XP_005100158.1, XP_005100694.1, XP_005100750.1, XP_005100751.1, XP_005101513.1, XP_005102125.1, XP_005103067.1, XP_005103069.1, XP_005104403.2, XP_005105907.1, XP_005105930.2, XP_005106287.1, XP_005107527.1, XP_005107831.2, XP_005108389.1, XP_005108921.1, XP_005108979.2, XP_005109042.2, XP_005109110.2, XP_005109994.1, XP_005111329.1, XP_005112130.1, XP_012936183.2, XP_012936740.1, XP_012939870.1, XP_012941625.1, XP_012941842.1, XP_012944667.1, XP_012945210.1, XP_035824814.1, XP_035825479.1, XP_035825928.1, XP_035828295.1, XP_035828844.1, XP_035828946.1, XP_035829042.1, XP_035829043.1"
Effector Genes	Antiviral	Double-stranded RNA-specific adenosine deaminase	ADAR	1	3	LOC101855902	"XP_005107468.1, XP_005107469.1, XP_005107470.1"
Effector Genes	Antiviral	Apolipoprotein B Editing Complex 3 proteins	APOBEC3	3	3	"LOC101861380, LOC101858634, LOC101854808"	"XP_005105001.1, XP_012939084.1, XP_012939930.1"
Effector Genes	Antiviral	Caveolin	CAV	8	10	"LOC101860370, LOC101860610, LOC101860851, LOC101861079, LOC101862143, LOC101862378, LOC101862612, LOC106013176"	"XP_005109530.1, XP_005109531.1, XP_005109532.1, XP_005109533.1, XP_005109537.1, XP_005109538.1, XP_005109539.1, XP_012943658.1, XP_012944107.1, XP_012944108.1"
Effector Genes	Antiviral	Gilt	Gilt	5	6	"LOC101846476, LOC101863576, LOC101845647, LOC101848961, LOC101846527"	"XP_005090370.1, XP_005090371.1, XP_005096027.1, XP_005107684.1, XP_012936610.2, XP_012943105.1"
Effector Genes	Antiviral	Interferon-induced transmembrane protein-like	IFITML	10	18	"LOC101852245, LOC101851646, LOC101847735, LOC101850301, LOC101858878, LOC106012775, LOC101860704, LOC106012477, LOC101861771, LOC118478850"	"XP_005099153.1, XP_005100332.1, XP_005101424.1, XP_005101425.1, XP_005101426.1, XP_005101428.1, XP_005112918.1, XP_005112919.1, XP_012941469.1, XP_012942149.1, XP_012942150.1, XP_012942151.1, XP_012945115.1, XP_035827037.1, XP_035827646.1, XP_035828688.1, XP_035829080.1, XP_035829475.1"
Effector Genes	Antiviral	Interferon-induced GTP-binding protein Mx	Mx	2	5	"LOC101848065, LOC101863954"	"XP_005106583.1, XP_005106584.1, XP_012946174.1, XP_035827821.1, XP_035827822.1"
Effector Genes	Antiviral	Protein mono-ADP-ribosyltransferase	PARPs	17	24	"LOC100533290, LOC101849976, LOC101848260, LOC101848576, LOC101851403, LOC101859245, LOC100533538, LOC101862421, LOC101855879, LOC101854894, LOC101854754, LOC101851461, LOC101846207, LOC101862662, LOC101851060, LOC101863474, LOC101852111"	"NP_001191521.1, XP_005089757.1, XP_005090722.3, XP_005094510.1, XP_005096756.1, XP_005099438.1, XP_005100577.1, XP_005100639.1, XP_005102137.1, XP_005106697.1, XP_005108913.1, XP_005112055.1, XP_012935800.1, XP_012935801.1, XP_012936925.2, XP_012940538.1, XP_012940910.1, XP_012945468.1, XP_035824673.1, XP_035827334.1, XP_035827858.1, XP_035827859.1, XP_035827860.1, XP_035827863.1"
Effector Genes	Antiviral	viperins (Radical S-adenosyl methionine domain-containing proteins)	RSADs	4	13	"LOC101856483, LOC101856246, LOC101847430, LOC101847031"	"XP_005090240.1, XP_005093392.1, XP_005100660.1, XP_005100661.1, XP_012936783.1, XP_012936784.1, XP_012936785.1, XP_012936787.1, XP_012936788.1, XP_035826663.1, XP_035826670.1, XP_035826674.1, XP_035826676.1"
Effector Genes	Antiviral	zinc finger NFX1-type containing 1	ZNFX1	3	5	"LOC101857249, LOC101862822, LOC101851452"	"XP_005097110.1, XP_005105181.1, XP_005110825.1, XP_035828884.1, XP_035828885.1"
Effector Genes	Autophagy	Beclin	Beclin	1	2	LOC101848114	"XP_005099976.1, XP_005099977.1"
Effector Genes	Complement	alpha-2-macroglobulin containing proteins	A2M	13	14	"LOC101848728, LOC101850949, LOC101856436, LOC101856668, LOC101852107, LOC101848021, LOC101850323, LOC101854858, LOC101854660, LOC106013441, LOC101861335, LOC101855617, LOC101854777"	"XP_005093011.2, XP_005096670.2, XP_005101039.1, XP_005101040.1, XP_005104186.2, XP_005113531.2, XP_012936322.1, XP_012936368.1, XP_012939450.1, XP_012941919.1, XP_012944672.1, XP_012945641.1, XP_012945936.1, XP_012946903.1"
Effector Genes	Complement	C1q domain containing proteins	C1qDC	11	11	"LOC101845081, LOC101850203, LOC101862457, LOC101856230, LOC101851911, LOC106012260, LOC101846315, LOC106013317, LOC101850618, LOC118477889, LOC101851650"	"XP_005094580.1, XP_005108120.2, XP_005110389.1, XP_005111741.1, XP_005112559.2, XP_012940093.1, XP_012944027.2, XP_012944154.1, XP_012945733.1, XP_035826391.1, XP_035826403.1"
Effector Genes	Complement	Complement proteins 3/4/5	C3/4/5	2	2	"LOC101848728, LOC101862906"	"XP_005093011.2, XP_005110548.2"
Effector Genes	Complement	Cluster of Differentiation 109	CD109	2	2	"LOC101854858, LOC101861335"	"XP_012936368.1, XP_012945641.1"
Effector Genes	Complement	Factor B-like	CFB	1	1	LOC101854327	XP_012938062.1
Effector Genes	Complement	Multiple epidermal growth factor-like domains protein 10	MEGF10	2	2	"LOC101848617, LOC106013429"	"XP_035828618.1, XP_035828764.1"
Effector Genes	Complement	thioester containing protein (thioester)	TEP	13	14	"LOC101848728, LOC101850949, LOC101856436, LOC101856668, LOC101852107, LOC101862906, LOC101848021, LOC101850323, LOC101854858, LOC101854660, LOC101861335, LOC101855617, LOC101854777"	"XP_005093011.2, XP_005096670.2, XP_005101039.1, XP_005101040.1, XP_005104186.2, XP_005110548.2, XP_005113531.2, XP_012936322.1, XP_012936368.1, XP_012939450.1, XP_012941919.1, XP_012945641.1, XP_012945936.1, XP_012946903.1"
Effector Genes	E3 Ubiquitin ligases	Cullin	CUL	6	6	"LOC101861300, LOC101856044, LOC101850358, LOC101855828, LOC101849832, LOC101851745"	"XP_005103119.1, XP_005105674.1, XP_005106158.1, XP_005109508.1, XP_012935903.1, XP_012939975.1"
Effector Genes	E3 Ubiquitin ligases	F-box/LRR-repeat protein	FBXL	29	49	"LOC101849742, LOC101859379, LOC101845070, LOC101849358, LOC101852838, LOC101862345, LOC101864225, LOC101862587, LOC101847048, LOC101858116, LOC101850971, LOC101850975, LOC101858571, LOC101864548, LOC101858360, LOC101859200, LOC101859521, LOC101858367, LOC101858759, LOC101860008, LOC106011810, LOC101852492, LOC101855055, LOC101847699, LOC101863481, LOC118477150, LOC101851315, LOC118478498, LOC101862262"	"XP_005090385.1, XP_005091324.1, XP_005091325.1, XP_005091874.1, XP_005093982.2, XP_005094358.1, XP_005094360.1, XP_005097571.1, XP_005098954.1, XP_005098955.1, XP_005100377.1, XP_005102274.2, XP_005102414.1, XP_005102415.1, XP_005102416.1, XP_005103245.1, XP_005104613.1, XP_005106281.1, XP_005106282.1, XP_005107503.1, XP_005108069.1, XP_005108158.1, XP_005109953.2, XP_005110773.2, XP_005111999.1, XP_012935703.1, XP_012937481.1, XP_012937482.1, XP_012938202.1, XP_012940736.1, XP_012940838.1, XP_012942369.1, XP_012943024.1, XP_012943917.1, XP_012945812.1, XP_012945813.1, XP_012946107.1, XP_035824637.1, XP_035824638.1, XP_035824639.1, XP_035824640.1, XP_035824641.1, XP_035824901.1, XP_035826595.1, XP_035826914.1, XP_035828108.1, XP_005096020.1, XP_012936606.1, XP_012940737.1"
Effector Genes	E3 Ubiquitin ligases	S-phase kinase-associated protein 1	SKIP1	1	1	LOC101854298	XP_005089404.1
Effector Genes	E3 Ubiquitin ligases	Tumor necrosis factor alpha-induced protein 3/A20-like	TNAP3/A20	2	3	"LOC101847463, LOC101852713"	"XP_005090023.1, XP_005104621.1, XP_035827273.1"
Effector Genes	Lysozyme	Lysozyme	Lysozyme	3	3	"LOC101864662, LOC106013490, LOC106014021"	"XP_012938414.2, XP_012944836.1, XP_012946472.1"
Effector Genes	Metabolism	Alcohol dehydrogenase-like	ADH	32	46	"LOC101845439, LOC101854305, LOC101853224, LOC101845757, LOC101855088, LOC101847866, LOC101860322, LOC101859850, LOC101850252, LOC101864528, LOC101845003, LOC101845245, LOC101848756, LOC101861741, LOC101846364, LOC101864402, LOC101861297, LOC101846365, LOC101848669, LOC101856363, LOC101858047, LOC101856931, LOC101846109, LOC101862465, LOC101848896, LOC101846767, LOC101861654, LOC101864612, LOC101856943, LOC101862593, LOC101848443, LOC101858234"	"XP_005090271.1, XP_005091394.2, XP_005092255.1, XP_005093172.1, XP_005093173.1, XP_005093174.1, XP_005094185.1, XP_005094186.1, XP_005096045.1, XP_005096046.1, XP_005096625.2, XP_005097375.1, XP_005099985.2, XP_005100048.1, XP_005100049.1, XP_005100050.1, XP_005100051.1, XP_005100067.1, XP_005101735.1, XP_005101843.1, XP_005102006.3, XP_005102246.1, XP_005102363.1, XP_005102373.1, XP_005103943.1, XP_005104033.1, XP_005109603.2, XP_005109605.1, XP_005112456.1, XP_012937392.1, XP_012938337.1, XP_012938897.1, XP_012938898.1, XP_012940285.1, XP_012943246.2, XP_035824994.1, XP_035825343.1, XP_035825415.1, XP_035826082.1, XP_035826125.1, XP_035826585.1, XP_035826645.1, XP_035826646.1, XP_035826681.1, XP_035828564.1, XP_035829403.1"
Effector Genes	Metabolism	Estrogen receptor/oestrogen-related receptors	ERR	1	1	ER	NP_001191648.1
Effector Genes	Metabolism	Ferritins	Ferritin	5	6	"LOC100533455, LOC101851840, LOC101852060, LOC101847647, LOC101852328"	"NP_001191661.1, XP_005089125.2, XP_005089126.2, XP_005096044.1, XP_005100766.1, XP_005100767.1"
Effector Genes	Metabolism	Serine/threonine-protein phosphatase PP1	PP1	4	13	"LOC101858865, LOC101849065, LOC101857039, LOC101853897"	"XP_005101052.3, XP_005101598.1, XP_005101599.1, XP_005101600.1, XP_005101601.1, XP_005101602.1, XP_005101603.1, XP_005103447.1, XP_005111155.1, XP_012939818.1, XP_012939819.1, XP_012939820.1, XP_035826463.1"
Effector Genes	Metabolism	Retinoid X receptor	RXR	2	3	"LOC101847621, LOC101851508"	"XP_005110810.1, XP_005110811.1, XP_012939974.1"
Effector Genes	Metabolism	Ubiquitin-like proteins	Ubiquitin-like	42	60	"LOC101860456, LOC101858987, LOC101847550, LOC101854387, LOC101845386, LOC101853683, LOC101845452, LOC101858332, LOC101854160, LOC101855255, LOC101856428, LOC101856344, LOC101859640, LOC101847499, LOC101851874, LOC101847671, LOC101862815, LOC101861457, LOC101859264, LOC101849079, LOC101849642, LOC101850439, LOC101864419, LOC101851447, LOC101847224, LOC101850381, LOC101849983, LOC101846207, LOC101860494, LOC101859785, LOC101847343, LOC101864227, LOC101845019, LOC100533554, LOC101852443, LOC101853990, LOC101847085, LOC101857392, LOC101863809, LOC101855538, LOC101848149, LOC101858237"	"XP_005089073.1, XP_005090251.1, XP_005090252.1, XP_005090719.1, XP_005091297.1, XP_005092656.1, XP_005092657.1, XP_005093119.1, XP_005093432.1, XP_005094020.1, XP_005096419.1, XP_005098556.1, XP_005098562.1, XP_005098918.1, XP_005098919.1, XP_005098933.1, XP_005100742.1, XP_005101094.1, XP_005101095.1, XP_005102549.1, XP_005103641.2, XP_005104572.1, XP_005105164.1, XP_005106322.1, XP_005106587.1, XP_005108205.1, XP_005108697.2, XP_005109406.2, XP_005110237.1, XP_005112050.1, XP_005112308.1, XP_005112309.1, XP_012936925.2, XP_012937488.1, XP_012937811.1, XP_012938291.1, XP_012938302.1, XP_012938443.1, XP_012940295.1, XP_012940298.1, XP_012940860.1, XP_012942624.1, XP_012942632.1, XP_012943679.1, XP_012944826.1, XP_012945271.1, XP_012945775.1, XP_012946788.1, XP_035824375.1, XP_035824383.1, XP_035825201.1, XP_035825202.1, XP_035825203.1, XP_035825204.1, XP_035825587.1, XP_035825588.1, XP_035826742.1, XP_035826807.1, XP_035828478.1, XP_035829460.1"
Effector Genes	Phenoloxidase/melanisation-type reaction	Laccase	Laccase	5	5	"LOC106011057, LOC101854103, LOC101861070, LOC101853408, LOC101851770"	"XP_012934797.2, XP_012940646.2, XP_012942636.1, XP_012942999.1, XP_012944262.1"
Effector Genes	Phenoloxidase/melanisation-type reaction	Tyrosinase	Tyrosinase	6	6	"LOC101848849, LOC100533382, LOC101848389, LOC101860977, LOC101845560, LOC118477934"	"XP_005110244.1, XP_012938877.2, XP_012944489.1, XP_035826072.1, XP_035826566.1, XP_035826574.1"
Effector Genes	RNAi	Argonaute	AGO	2	8	"LOC101863465, LOC101846762"	"XP_005107586.1, XP_005107587.1, XP_005107588.1, XP_005107589.1, XP_012942742.1, XP_012943067.1, XP_012943068.1, XP_035828092.1"
Effector Genes	RNAi	Dicer	Dicer	1	1	LOC101848232	XP_012942349.1
Effector Genes	RNAi	Piwi-like	PIWI	4	10	"LOC101852400, LOC101863465, LOC101862357, LOC101846762"	"XP_005096149.1, XP_005107586.1, XP_005107587.1, XP_005107588.1, XP_005107589.1, XP_012940110.1, XP_012942742.1, XP_012943067.1, XP_012943068.1, XP_035828092.1"
Effector Genes	RNAi	RISC-loading complex subunit TARBP	TRBP	1	1	LOC101846211	XP_005098097.1
Effector Genes	ROS	Dual oxidase	DUOX	3	3	"LOC101859126, LOC101855136, LOC101857144"	"XP_012942535.1, XP_012943057.2, XP_012943483.1"
Effector Genes	ROS	Dual oxidase maturation factor	DUOXA	2	2	"LOC101855368, LOC106013841"	"XP_012943062.1, XP_012946050.1"
Effector Genes	ROS	L-Amino Oxidase	LAAO	20	24	"LOC100533295, LOC100533346, LOC101859525, LOC101853043, LOC101847089, LOC101854076, LOC101845684, LOC101859327, LOC101855100, LOC101845699, LOC101849311, LOC101849555, LOC101849786, LOC101851428, LOC101845197, LOC101850926, LOC101858677, LOC101853656, LOC106012502, LOC101859365"	"NP_001191524.1, NP_001191570.1, XP_005089069.2, XP_005089304.1, XP_005089305.1, XP_005092230.1, XP_005095149.2, XP_005096895.1, XP_005097724.1, XP_005098472.1, XP_005100139.1, XP_005104083.1, XP_005104084.1, XP_005104085.1, XP_005104091.1, XP_005107682.1, XP_005112313.2, XP_005112314.2, XP_012936360.1, XP_012937097.1, XP_012945727.1, XP_035825486.1, XP_035827084.1, XP_035828739.1"
Effector Genes	ROS	Nitric-oxide synthase	NOS	7	9	"NOS, LOC100533269, LOC101858848, LOC101847430, LOC101845011, LOC101847289, LOC101860933"	"NP_001191470.1, NP_001191505.1, XP_005094471.1, XP_005100660.1, XP_005100661.1, XP_005101662.1, XP_005109646.1, XP_012944811.1, XP_035828576.1"
Effector Genes	ROS	NADPH oxidase	NOX	5	5	"LOC101851552, LOC101854582, LOC101859126, LOC101855136, LOC101857144"	"XP_005090645.1, XP_035826555.1, XP_012942535.1, XP_012943057.2, XP_012943483.1"
Effector Genes	ROS	Peroxidasin	PRXDN	1	1	LOC100533347	NP_001191571.1
Effector Genes	Stress responses	Heat shock factor protein	HSF	1	1	LOC101851429	XP_005104183.2
Effector Genes	Stress responses	Heat shock 20 kDa protein	HSP20	25	36	"LOC101860536, LOC101850615, LOC101863473, LOC101847245, LOC101856874, LOC101854627, LOC101853074, LOC101860893, LOC101855423, LOC101861131, LOC101846598, LOC101854593, LOC101853719, LOC101857515, LOC101850202, LOC101857145, LOC101851676, LOC101856617, LOC101856400, LOC106011005, LOC101855969, LOC101845038, LOC101845724, LOC101851955, LOC101855980"	"XP_005089162.1, XP_005089163.1, XP_005089581.2, XP_005089728.1, XP_005092146.1, XP_005093395.1, XP_005093649.2, XP_005094795.1, XP_005097915.2, XP_005098825.2, XP_005098826.2, XP_005100805.2, XP_005103900.1, XP_005104541.1, XP_005104542.1, XP_005104543.1, XP_005104544.1, XP_005105229.1, XP_005107140.2, XP_005107871.1, XP_005108409.1, XP_005108410.1, XP_005108414.1, XP_005108640.1, XP_005111086.1, XP_005113030.1, XP_012934628.1, XP_012938222.2, XP_012941769.1, XP_012942188.1, XP_012943776.1, XP_012943948.1, XP_035824373.1, XP_035824374.1, XP_035826123.1, XP_035828566.1"
Effector Genes	Stress responses	Heat shock 70 kDa protein	HSP70	12	12	"LOC100533358, LOC101859377, LOC100533359, LOC101861811, LOC101851186, LOC101856740, LOC101856967, LOC100533361, LOC101860509, LOC101850663, LOC101857842, LOC101861155"	"NP_001191581.1, XP_005090872.1, XP_005098012.1, XP_005098078.1, XP_005098119.1, XP_005100353.1, XP_005100354.1, XP_005100356.1, XP_005102694.1, XP_005103834.1, XP_012945295.1, XP_035828013.1"
Effector Genes	Stress responses	Heat shock 90 kDa protein	HSP90	4	4	"LOC101845707, LOC101859343, LOC101861407, LOC101859248"	"XP_005102885.1, XP_012940482.1, XP_012945462.1, XP_035826131.1"
Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicase with DEAD Q motif	DDX_DEAD_Q	26	36	"ddx5, LOC101851776, LOC101849014, LOC101864496, LOC101846328, LOC101857175, LOC101858852, LOC101861278, LOC101848815, LOC101864619, LOC101851042, LOC101846740, LOC101849704, LOC101861148, LOC101860438, LOC101860606, LOC101862219, LOC101849416, LOC101863650, LOC101848914, LOC101847838, LOC101857439, LOC101856541, LOC101863275, LOC101846245, LOC101845967"	"NP_001191665.1, XP_005089033.1, XP_005089113.1, XP_005090184.1, XP_005090807.1, XP_005093572.1, XP_005095597.1, XP_005097733.1, XP_005097858.1, XP_005098512.1, XP_005099060.1, XP_005100486.2, XP_005102822.1, XP_005105610.1, XP_005106375.2, XP_005109099.1, XP_005109281.2, XP_005110572.1, XP_005110573.1, XP_005110574.1, XP_005110575.1, XP_005113588.2, XP_012942471.1, XP_012943078.1, XP_012943377.1, XP_012943455.1, XP_012943485.1, XP_012943544.1, XP_012944558.2, XP_012944604.1, XP_035826178.1, XP_035826542.1, XP_035828038.1, XP_035828507.1, XP_035828520.1, XP_035829010.1"
Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicase DDX1	DDX1	1	1	LOC101857175	XP_005093572.1
Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicase DDX21	DDX21	3	3	"LOC101858186, LOC101845337, LOC101862029"	"XP_005099846.1, XP_005101073.3, XP_012936672.1"
Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicase DDX41	DDX41	1	1	LOC101864496	XP_005090184.1
Immune receptor	DExD/H-box helicases	DExD/H-box helicases - other	DExD/H-box	59	78	"ddx5, LOC101851776, LOC101849014, LOC101861552, LOC101864496, LOC101862470, LOC101846328, LOC101860305, LOC101860724, LOC101862170, LOC101857175, LOC101858852, LOC101844991, LOC101864220, LOC101861278, LOC101848815, LOC101856181, LOC101864619, LOC101851042, LOC101858185, LOC101858186, LOC101846740, LOC101845337, LOC101856104, LOC101858284, LOC101849704, LOC101857502, LOC101854034, LOC101848058, LOC101861148, LOC101860438, LOC101861979, LOC101857366, LOC101860606, LOC101862219, LOC101850122, LOC101849416, LOC101848856, LOC101863650, LOC101849189, LOC101860158, LOC101862029, LOC101861446, LOC101850262, LOC101856858, LOC101848914, LOC101847838, LOC101857439, LOC101863548, LOC101856541, LOC101858583, LOC101845366, LOC101848799, LOC101845538, LOC101851955, LOC101858636, LOC101863275, LOC101846245, LOC101845967"	"NP_001191665.1, XP_005089033.1, XP_005089113.1, XP_005089719.1, XP_005090184.1, XP_005090695.1, XP_005090696.1, XP_005090807.1, XP_005090962.1, XP_005092201.1, XP_005093334.1, XP_005093572.1, XP_005095597.1, XP_005095875.3, XP_005097314.1, XP_005097733.1, XP_005097858.1, XP_005098478.1, XP_005098479.1, XP_005098512.1, XP_005099060.1, XP_005099433.1, XP_005099434.1, XP_005099846.1, XP_005100486.2, XP_005101073.3, XP_005101542.1, XP_005102148.1, XP_005102149.1, XP_005102822.1, XP_005103863.1, XP_005104367.1, XP_005104600.1, XP_005105610.1, XP_005106375.2, XP_005106554.1, XP_005108328.2, XP_005109099.1, XP_005109281.2, XP_005110419.1, XP_005110572.1, XP_005110573.1, XP_005110574.1, XP_005110575.1, XP_005111550.1, XP_005113588.2, XP_012935222.1, XP_012936289.1, XP_012936672.1, XP_012938554.1, XP_012939487.1, XP_012940325.2, XP_012941440.1, XP_012942327.1, XP_012942471.1, XP_012942530.1, XP_012943078.1, XP_012943377.1, XP_012943455.1, XP_012943485.1, XP_012943544.1, XP_012944528.2, XP_012944558.2, XP_012944604.1, XP_012944808.2, XP_012944942.1, XP_012944943.1, XP_012946325.2, XP_035825153.1, XP_035826123.1, XP_035826178.1, XP_035826324.1, XP_035826542.1, XP_035827082.1, XP_035828038.1, XP_035828507.1, XP_035828520.1, XP_035829010.1"
